City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,mwinilunga,-11.7358,24.4293,15.96,93,100,1.8,ZM,1675885547
210,polunochnoye,60.8697,60.4153,-15.56,92,56,2.56,RU,1675885547
211,saskylakh,71.9167,114.0833,-38.23,100,92,2.56,RU,1675885548
212,severo-kurilsk,50.6789,156.125,-5.99,74,94,4.81,RU,1675885548
213,clearwater,27.9659,-82.8001,28.39,50,0,4.12,US,1675885332
214,campana,-34.1687,-58.9591,28.9,18,87,3.06,AR,1675885549
215,kieta,-6.2167,155.6333,26.43,85,100,2.85,PG,1675885549
216,ponta delgada,37.7333,-25.6667,13.4,58,75,6.17,PT,1675885549
217,pontianak,-0.0333,109.3333,22.99,100,40,0.51,ID,1675885550
218,bamiantong,44.9333,130.5333,-21.71,99,17,1.62,CN,1675885550
219,malangali,-8.5667,34.85,16.73,95,100,1.7,TZ,1675885551
220,alta gracia,-31.6529,-64.4283,25.43,48,29,2.38,AR,1675885551
221,north vernon,39.0062,-85.6236,12.84,58,100,2.37,US,1675885318
222,macapa,0.0389,-51.0664,30.99,70,20,5.66,BR,1675885552
223,lamu,-2.2717,40.902,26.12,86,7,6.28,KE,1675885553
224,abu dhabi,24.4667,54.3667,21.06,75,0,4.63,AE,1675885553
225,pandan,14.0453,124.1694,25.08,75,100,4.84,PH,1675885554
226,terney,45.0503,136.6092,-14.19,72,1,3.24,RU,1675885554
227,kousseri,12.0769,15.0306,25.98,17,100,2.57,CM,1675885554
228,anadyr,64.75,177.4833,-33.72,68,0,4.0,RU,1675885555
229,hamilton,39.1834,-84.5333,13.3,50,75,3.09,US,1675885555
230,kashi,39.4547,75.9797,0.56,59,99,4.0,CN,1675885556
231,ketchikan,55.3422,-131.6461,3.99,93,100,3.09,US,1675885383
232,thompson,55.7435,-97.8558,-4.91,80,75,3.09,CA,1675885556
233,pawai,24.2667,80.1667,15.65,36,0,0.84,IN,1675885556
234,usak,38.5,29.4167,-4.65,76,9,2.68,TR,1675885557
235,port moresby,-9.4431,147.1797,22.68,100,75,2.57,PG,1675885557
236,souillac,-20.5167,57.5167,26.21,83,75,3.6,MU,1675885558
237,perry hall,39.4126,-76.4636,17.56,30,0,6.17,US,1675885558
238,codrington,-38.2667,141.9667,11.82,91,0,2.57,AU,1675885559
239,hay river,60.8156,-115.7999,-15.02,71,20,2.06,CA,1675885559
240,chifeng,42.2683,118.9636,-6.39,35,100,1.02,CN,1675885560
241,aksu,41.1231,80.2644,-4.36,82,75,2.67,CN,1675885560
242,sirawai,7.5854,122.1407,24.27,84,100,1.01,PH,1675885561
243,tari,12.4086,4.4914,27.73,11,91,4.7,NG,1675885561
244,quimper,48.0,-4.1,6.32,75,0,2.57,FR,1675885485
245,biu,10.6129,12.1946,25.02,15,83,4.46,NG,1675885563
246,okhotsk,59.3833,143.3,-28.96,84,61,5.14,RU,1675885566
247,pacific grove,36.6177,-121.9166,18.01,57,0,7.6,US,1675885567
248,tura,25.5198,90.2201,15.2,61,2,1.6,IN,1675885497
249,luganville,-15.5333,167.1667,25.8,87,100,3.53,VU,1675885572
250,georgetown,5.4112,100.3354,26.96,94,20,1.03,MY,1675885492
251,whitehorse,60.7161,-135.0538,-7.33,72,20,4.63,CA,1675885575
252,san andres,12.5847,-81.7006,29.01,65,40,6.69,CO,1675885540
253,college,64.8569,-147.8028,-15.79,83,100,0.0,US,1675885337
